,formula,element,H_length,spacegroup.number,density,formation_energy,volume,energy,energy_per_atom,nsites,nelements,e_above_hull,atomic_radius,covalent_radius,H_and_X_ar,H_and_X_cr,electronegativity_Pauling,electronegativity_Pauling_abs,electronegativity_Pauling_pow2,total_magnetization
44,CaH2F4,F,1.153041735,70,2.553581596,-2.938705807,153.5795021,-69.46415449,-4.961725321,14,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.32E-05
165,NaHF2,F,1.148305312,166,2.072712384,-2.529871599,49.66647375,-17.51254633,-4.378136583,4,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
265,NaHF2,F,1.146672018,5,2.578863089,-2.339260549,39.91848798,-16.75010213,-4.187525533,4,3,0.19061105,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.24E-05
266,HF,F,0.948887757,36,1.721541338,-1.78603434,38.59484955,-16.46471095,-4.116177738,4,2,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
289,SbH7F11,F,0.932802199,1,2.627386139,-2.004906373,1067.461673,-402.6321439,-4.238233093,95,3,0.051122669,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.20626782
316,HNF2,F,0.94314834,1,1.343313254,-0.46902357,262.1207747,-59.66447719,-3.729029824,16,3,0.791402329,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0027485
342,H3F2,F,0.973965241,1,1.407697649,-1.489334478,96.77696448,-40.01396528,-4.001396528,10,2,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.00E-08
394,H4NF2,F,1.106579902,166,1.490732999,-0.854470388,124.836237,-59.46762364,-4.247687403,14,3,0.567894254,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00033765
408,NaHF2,F,1.146672018,5,2.216127105,-2.458447279,46.45235147,-17.22684905,-4.306712263,4,3,0.07142432,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.17E-05
462,CsH2F3,F,1.021175868,19,3.151502703,-2.367466805,808.9725942,-206.7306154,-4.306887821,48,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,7.50E-08
495,InH3F3,F,0.944334951,13,2.013726959,-1.021773378,288.3446702,-47.76991552,-3.412136823,14,3,0.61039962,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0134745
552,H6OF4,F,1.001691815,2,1.566546104,-1.781689088,207.8462085,-97.92973189,-4.45135145,22,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
556,H7NF4,F,0.998974868,161,1.483322465,-1.568076514,217.3028527,-110.2594951,-4.594145627,24,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00221305
557,H11NF8,F,0.973984724,14,1.552415311,-1.693094122,757.6590039,-355.2634359,-4.440792948,80,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
568,RbHF2,F,1.152463033,140,3.155639506,-2.539831167,130.9981863,-34.44139134,-4.305173918,8,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
732,KH4F5,F,0.979746686,88,1.749537857,-2.153704423,262.1916436,-85.41828098,-4.270914049,20,3,0.015507556,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.46E-05
868,LiHF2,F,1.137408436,12,2.322013091,-2.571746629,32.85713898,-18.2767463,-4.569186575,4,3,0.021543405,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
926,H4NF3,F,1.100498111,88,1.064309241,-0.918345442,468.2711936,-130.0793311,-4.064979097,32,3,0.641402521,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,4.29E-05
932,SbH7F12,F,0.996166455,5,2.558174576,-2.114370284,231.6004534,-86.14116351,-4.307058176,20,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.31E-05
942,CsHF2,F,1.154205916,123,3.457611539,-2.519838672,82.56092306,-17.05559399,-4.263898498,4,3,0.016606764,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
976,CsHF2,F,1.15376739,140,3.699817551,-2.536445436,154.312258,-34.24404209,-4.280505261,8,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00036145
995,H8NF5,F,0.986968101,88,1.391604122,-1.616233648,279.3702792,-127.2007744,-4.542884801,28,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0004088
1007,K2H5F7,F,0.9898129,14,2.003340671,-2.314740002,716.903057,-243.0787687,-4.340692298,56,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.08E-06
1008,KH3F4,F,1.001376648,167,1.95830699,-2.265006388,200.3115851,-69.26372114,-4.328982571,16,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1040,BaH6F8,F,1.014107755,190,2.84443673,-2.407159482,689.7111284,-275.3167364,-4.588612273,60,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.31E-05
1199,LiHF2,F,1.137408436,12,2.600900874,-2.230949377,29.3339541,-16.91355729,-4.228389323,4,3,0.362340657,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1228,RbHF2,F,1.142878522,46,3.15655724,-2.538103977,130.9601001,-34.42757382,-4.303446728,8,3,0.00172719,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1394,Sb2HF13,F,1.141645775,2,3.0978059,-2.134111821,263.4661121,-64.1106767,-4.006917294,16,3,0.095137678,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0384333
1405,Fe2H3F2,F,1.141001621,85,0.394867788,0.208075969,2568.778398,-90.3054902,-3.225196079,28,3,1.411464088,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,9.003347475
1448,KHF2,F,1.150822842,140,2.30384049,-2.552579565,112.5886626,-34.80310827,-4.350388534,8,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1467,LiHF2,F,1.147369292,166,2.156241152,-2.593290034,35.38319765,-18.36291992,-4.59072998,4,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1511,Na2HF4,F,1.142938991,10,2.112850591,-2.333276433,96.65373764,-27.87931824,-3.982759749,7,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.0014844
2133,H13C3NF4,F,0.99289833,2,1.197146252,-0.953397709,771.9696852,-413.8116427,-4.92632908,84,4,0.077339261,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
2203,CaAs2H6F18,F,0.952662347,14,2.615365937,-2.403983662,1366.188241,-484.9294404,-4.490087411,108,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.000262125
2207,As2HPbF13,F,0.9460196,60,4.10512624,-2.456518849,1957.896593,-611.978516,-4.499842029,136,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0092218
2217,Sb2H4AuF16,F,0.978554253,2,3.97457491,-2.183943027,312.7130651,-97.45031912,-4.236970397,23,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.9989039
2252,TiH12N3F7,F,0.949529452,1,1.24412045,-1.259850725,313.6182362,-109.549727,-4.763031607,23,4,0.492689111,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.86E-05
2297,TlAsH2F10,F,0.972937884,14,4.086320347,-2.195006986,766.0878111,-233.7409338,-4.173945246,56,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.001105775
2389,Ca2AsH4F13,F,0.99760101,91,2.837296927,-2.795033042,950.6597368,-383.936771,-4.799209637,80,4,0.000643714,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.007354725
2524,H14C3NF5,F,0.978075936,2,1.192438757,-1.038899723,443.2285797,-223.9730784,-4.868979965,46,4,0.067875464,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.71E-05
2579,K3SnHF8,F,1.148829396,15,2.875553032,-2.918368449,449.2699655,-119.7328388,-4.605109184,26,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.60E-06
2587,SbH2(NF2)3,F,1.010920459,26,2.565307254,-1.280604556,362.2148929,-116.7128899,-4.863037079,24,4,0.465337001,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,6.68E-05
2596,CsHIF7,F,1.021741028,2,3.77807615,-2.260264159,346.171627,-76.41128126,-3.820564063,20,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.14E-05
2710,SbH(OF3)2,F,0.984550263,2,2.929838484,-1.899494459,304.6459829,-88.98186516,-4.449093258,20,4,0.041454876,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
2720,MgSb2H2F14,F,0.971201156,62,3.168003824,-2.689209866,1123.417322,-349.2682309,-4.595634618,76,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,9.67E-05
2724,PrB2HF10,F,0.979702642,11,3.381700647,-3.373367078,347.1841689,-165.624115,-5.915146965,28,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,7.00E-07
2728,PHPb2F10,F,1.152492457,2,5.450003418,-2.731439669,193.8916512,-68.52385833,-4.894561309,14,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.10E-06
2844,MgHAu2F11,F,0.99838578,14,4.522832681,-1.885814823,922.6058645,-221.1906779,-3.686511299,60,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,9.73E-06
2846,Ca2AsH4F13,F,0.998129218,95,2.837299791,-2.795059737,950.6587772,-383.9389066,-4.799236333,80,4,0.000617019,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00764555
2847,Ba4P3HF24,F,1.155055914,2,3.792697256,-3.399237556,481.2571626,-170.0242826,-5.31325883,32,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.002316
2918,SbPH2F10,F,0.944127221,14,2.658574794,-2.38571505,861.2791101,-254.5090832,-4.544805058,56,4,0.161322037,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3006,H12C3NF3,F,1.008943765,62,1.169715877,-0.85339789,676.467998,-379.9433276,-4.999254311,76,4,0.081517213,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3025,BeH8(NF2)2,F,1.015452109,62,1.656906212,-1.649886082,485.3927803,-303.9709692,-5.06618282,60,4,0.009753333,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3057,BeH8(NF2)2,F,1.015452109,62,1.55514524,-1.593106725,517.1544704,-300.5642078,-5.009403463,60,4,0.06653269,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3136,TiH14(OF)6,F,0.96243799,14,1.44209011,-1.094242893,626.3249008,-233.5864356,-4.325674734,54,4,0.817257684,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,8.00E-05
3182,ZrH8(NF3)2,F,1.008426492,29,2.045815506,-1.795963002,1566.802848,-715.401681,-5.260306478,136,4,0.219237666,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.000352825
3222,NdB2HF10,F,0.976300051,11,3.493819107,-3.371036378,339.212343,-165.5333436,-5.911905128,28,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.50E-07
3236,HgAs2H2F14,F,1.000763337,2,4.038690887,-2.219983791,254.270942,-78.16751236,-4.114079598,19,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.20E-06
3329,Rb2Ti4H3F21,F,0.960576862,2,2.576803358,-3.338807508,985.1787161,-346.5125351,-5.775208918,60,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0001297
3428,CdAs2HF13,F,0.951174326,14,3.521944287,-2.404351624,962.281829,-291.2163396,-4.28259323,68,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3478,H16C3NF7,F,0.974086148,173,1.246124744,-1.168730549,530.7720574,-257.936288,-4.776597925,54,4,0.051475755,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3492,H14C4NF3,F,1.026624343,61,1.19154676,-0.752500247,1484.527714,-888.2601646,-5.046932753,176,4,0.097783375,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3518,TiH12N3F7,F,0.949529452,1,1.406391583,-1.249115298,277.4325912,-109.3028121,-4.75229618,23,4,0.503424538,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
3521,KH(IF6)2,F,1.166312381,140,3.286185986,-2.160825622,527.4374189,-118.0359306,-3.688622831,32,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0008539
3598,GeH12(NF2)4,F,0.991343682,56,1.892659979,-1.435432904,1027.382972,-490.2178559,-4.902178559,100,4,0.073691106,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.94E-05
3613,AlH12(OF)5,F,0.94466433,1,1.456856734,-1.665016593,487.9885206,-218.4977508,-4.749951105,46,4,0.269460408,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00074125
3695,CaSb2H2F14,F,0.966800558,14,3.231009437,-2.79158425,1133.935748,-358.6589514,-4.719196729,76,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.45E-06
3703,K2CrH2F8,F,0.983786886,14,2.587802863,-2.668335287,364.7250295,-124.786157,-4.799467576,26,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.0033416
3723,RbAl6H20N5F24,F,0.952499638,1,2.170331661,-2.100087736,607.121968,-279.7091997,-4.994807137,56,5,0.322496556,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.5382455
3813,KTi2H2F11,F,0.965348863,2,2.416909808,-3.245321013,950.4123736,-363.7246625,-5.683197852,64,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.13E-05
3872,Cs3H(SF6)2,F,1.144078472,32,3.132090219,-2.462968522,733.5799338,-148.503917,-4.125108806,36,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.005611
3886,RbAl6H20N5F24,F,0.952499638,1,2.213220513,-2.125082634,595.3568664,-281.1089139,-5.019802034,56,5,0.297501658,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,4.0000002
4013,K4Na2FeH3F12,F,1.136702151,3,2.638217695,-2.732726453,307.9248933,-99.68813239,-4.531278745,22,5,0.028407054,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.0065885
4178,CaAs2HF13,F,0.944433199,14,3.037263202,-2.730348272,957.6568468,-317.7571515,-4.672899287,68,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,9.00E-07
4197,Na2CrH2F8,F,0.981071287,12,2.795387037,-2.594373576,149.6825102,-61.83522436,-4.75655572,13,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.0004358
4444,Rb4LiZr3H2F19,F,1.007633482,14,3.51209287,-3.495051526,1863.74457,-665.2023246,-5.734502798,116,5,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.000770325
4592,H12WN3O3F5,F,0.971727536,61,1.940890507,-1.284484022,2607.360043,-976.0699726,-5.083697774,192,5,0.207722368,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.66E-05
4641,Li3NbHO2F7,F,1.156886393,60,3.055172265,-2.748852608,1216.282827,-616.7963892,-5.507110618,112,5,0.114702159,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
4852,Be2CoH6(NF4)2,F,1.062647805,14,1.750332821,-1.092167446,499.0267464,-160.3441808,-4.219583706,38,5,1.059150118,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.0017951
4951,SbH12C4NF4,F,0.947209417,14,1.783897468,-0.818019904,1012.385322,-446.1761176,-5.070183155,88,5,0.167150331,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
4953,LiZr3H18N4F19,F,0.998637861,14,2.564845053,-2.31139471,1853.577531,-994.7215515,-5.526230842,180,5,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00832785
4980,RbAl6H20N5F24,F,0.952499638,1,2.463312527,-2.026876291,534.9122432,-275.6093587,-4.921595692,56,5,0.395708001,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.009158
5194,SbH12C4NF4,F,0.947209417,14,1.767090562,-0.89162915,1022.014181,-452.6537313,-5.143792401,88,5,0.093541085,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
5264,Na3NbHO2F7,F,1.152348513,60,2.923321136,-2.741865322,1489.930102,-601.6930168,-5.372259079,112,5,0.053125034,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.001925413
5414,Cs4NaHf3H2F19,F,1.005552264,11,4.714069581,-3.565332945,1023.690751,-343.2599362,-5.918274761,58,5,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,8.00E-07
5440,RbAl6H20N5F24,F,0.952499638,1,2.46683341,-2.023461828,534.148769,-275.4181488,-4.918181228,56,5,0.399122464,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0155793
5553,H12WN3(OF)3,F,0.997297276,1,2.369800239,-1.201195366,240.3071168,-114.7663278,-5.216651265,22,5,0.157623229,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
5984,Sc2Cu3H36(NF)12,F,0.975788808,2,1.569094075,-0.795032313,754.4437112,-305.7464462,-4.70379148,65,5,0.524345641,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.9702589
6033,GaH15N4(OF3)2,F,0.955156717,15,1.474198288,-1.007697751,646.234794,-257.3283947,-4.595149906,56,5,0.432301721,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0006788
6045,K6BiH3(Cl2F)4,F,1.00477999,194,2.462068556,-2.136579817,1087.49686,-165.9715687,-3.772081107,44,5,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,6.14E-05
6225,Ba2B2AsH3F18,F,1.015782741,194,3.118672378,-3.053908043,762.6744822,-273.091905,-5.251767404,52,5,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.01470725
6465,K3NbHOF7,F,1.148594711,15,2.682182354,-3.074656995,445.9964654,-141.6645918,-5.448638145,26,5,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,7.00E-07
6466,K6BiH3(Cl2F)4,F,1.010897148,186,2.466031053,-2.135770551,1085.749436,-165.935961,-3.771271842,44,5,0.000809266,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.01015585
6656,TeH15C5NOF6,F,0.963972678,14,1.768022974,-0.953092851,1302.751554,-584.9373244,-5.042563141,116,6,0.175132438,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
6681,K5Mo3H2S4O2F11,F,1.039336213,36,2.711439852,-2.087603102,1046.709238,-258.9252382,-4.794911819,54,6,0.355367656,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.19E-05
6857,B2H24PdC8(SF2)4,F,0.955729125,1,1.18950139,-0.474993686,1475.750225,-435.3683409,-4.631578094,94,6,0.502038516,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.00000005
7135,TeH14C3S3(N3F2)2,F,0.992174584,14,1.922770276,-0.819071791,1499.144416,-661.5486097,-5.335069433,124,6,0.097358776,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.30E-05
7152,TeH15C5NOF6,F,0.963972678,14,1.561562184,-0.731628338,1474.993889,-559.2474408,-4.821098628,116,6,0.396596952,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00025725
7158,MgH16C4S4N2(O4F3)4,F,0.963013605,14,1.363706551,-1.293636702,1774.673828,-552.5278667,-5.022980606,110,7,0.510861285,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,4.0692578
7165,MgH16C4S4N2(O4F3)4,F,0.963013605,14,1.386941137,-1.060746364,1744.943791,-526.9099295,-4.790090268,110,7,0.743751624,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00247975
7650,MgH16C4S4N2(O4F3)4,F,0.963013605,14,1.46922525,-1.210839617,1647.218032,-543.4201873,-4.940183521,110,7,0.593658371,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,7.82E-05
39,SmHO2,O,0.990401491,62,5.672929226,-2.940159715,214.6951765,-112.8375558,-7.052347234,16,3,0.036687504,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,1.54E-05
51,V3(H3O5)2,O,0.97341323,1,2.194654231,-1.80916862,482.5267461,-236.9406939,-6.235281418,38,3,0.086617901,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,4.72E-05
52,Sr(H8O5)2,O,0.968413943,1,1.642027375,-1.435770577,266.7143722,-134.7477281,-4.990656596,27,3,0.062720357,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,2.00E-07
53,MoH4O5,O,0.97634842,2,2.942448344,-1.487013115,203.126867,-112.7440806,-5.637204028,20,3,0.153474835,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,9.24E-05
54,H2O,O,0.971553154,2,1.065218837,-1.078514908,337.0020341,-167.5282022,-4.653561172,36,2,0.310190376,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
55,H3CO3,O,0.986581197,14,1.609395247,-1.396756973,260.1431668,-165.8411001,-5.922896431,28,3,0.068229029,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,4.23E-06
56,Ba(H2O3)2,O,0.976420916,15,3.48083919,-1.083826906,226.4612034,-111.2237325,-5.055624205,22,3,0.338544657,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
87,H2SO5,O,1.008537497,61,2.010648683,-1.437003141,753.7100957,-341.4145253,-5.334601958,64,3,0.035010785,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
88,BHO2,O,1.003779464,14,1.904417058,-2.304623531,458.4777401,-331.5474284,-6.907238091,48,3,0,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
90,U(H2O3)2,O,0.98784415,62,4.441647502,-2.073627346,505.5394163,-290.1370011,-6.594022752,44,3,0.00165073,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,6.09E-05
106,VH3O4,O,0.978652086,109,2.699735477,-1.62805164,290.2240442,-188.5065646,-5.890830144,32,3,0.157264266,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,1
109,RbH4O3,O,1.001904859,43,2.304336276,-1.296358545,396.3317411,-148.189382,-4.630918186,32,3,0.116314792,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,1.000240925
119,As14H6O31,O,0.982002359,143,3.869305802,-1.470337781,665.5928421,-291.2603892,-5.710988023,51,3,0.112731227,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.0074454
122,Mn(HO)2,O,0.973205104,12,3.099777082,-1.628231249,190.6065772,-122.3712673,-6.118563365,20,3,0.002370422,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,5.50E-07
123,Fe(HO)2,O,0.972753637,12,3.34160195,-1.523975862,178.61554,-113.3079225,-5.665396123,20,3,0.000459004,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,2.88E-06
124,FeHO2,O,0.969327278,12,3.386015398,-1.645371227,174.295469,-96.19539818,-6.012212386,16,3,0.069684537,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
133,H2O2,O,1.011268506,92,1.801368652,-0.935659711,125.4217562,-74.85377241,-4.678360776,16,2,0.105869253,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
134,H2O,O,0.993151503,148,1.24342769,-1.363908819,288.7026866,-177.802383,-4.938955083,36,2,0.024796466,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
147,H5ClO2,O,0.99175825,14,1.47450355,-1.284065939,326.5504997,-144.8655709,-4.527049091,32,3,0.009639587,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
160,H3ClO5,O,1.01652074,14,1.9087335,-0.946678705,412.2742258,-162.8859866,-4.524610739,36,3,0,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
161,H3OF,O,1.037755677,62,1.493639432,-1.638947521,169.0806747,-94.32065276,-4.716032638,20,3,0,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
169,H2O2,O,1.011268506,92,1.706810721,-0.959328276,132.3701669,-75.23246945,-4.702029341,16,2,0.082200688,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
185,H30S2O21,O,0.971982031,8,1.526861854,-1.475119659,468.0333616,-271.4783964,-5.122233893,53,3,0.008373067,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.0010568
187,H11O8,O,0.98084539,1,1.121431139,-1.133129791,205.9439792,-91.13189305,-4.796415424,19,2,0.072851114,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,1.0148171
188,H2O,O,0.990484583,102,1.518322968,-1.321234618,39.40541884,-29.37768529,-4.896280882,6,2,0.067470667,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
195,H2O,O,0.98844998,4,1.337715313,-1.354361185,268.3537457,-177.4586682,-4.929407449,36,2,0.034344099,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
196,H2O,O,0.99411915,19,1.339032997,-1.355483697,268.0896704,-177.4990786,-4.930529961,36,2,0.033221588,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
197,H2O,O,0.99411915,19,1.333899251,-1.354502427,269.1214608,-177.4637529,-4.929548691,36,2,0.034202858,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
207,NaHO,O,0.97126581,160,2.078155345,-1.563762932,31.95947919,-13.48891393,-4.496304643,3,3,0.047566395,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.0001838
208,Ni(HO)2,O,0.98041332,156,3.621898325,-0.954799262,42.50406136,-20.95348055,-4.19069611,5,3,0.774808476,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.0001537
209,Ni(HO)2,O,0.966843287,5,3.778452135,-1.181647096,40.74297706,-24.05196829,-4.810393658,5,3,0.155110928,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.0004658
210,H8PtO6,O,0.992699264,1,4.347820094,-1.228857886,228.5007912,-151.7913242,-5.059710807,30,3,0.069480338,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,1.10E-06
211,LiH3O2,O,0.975847561,2,1.471716614,-1.617610293,94.69517392,-59.65025106,-4.970854255,12,3,0.002347254,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
212,VHO3,O,1.00858314,4,2.776501607,-1.97473965,358.6534085,-199.5047249,-6.650157497,30,3,0.04854263,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,6.04E-05
213,P(HO)3,O,0.990892016,4,1.633742648,-1.565195058,666.7253227,-310.6068613,-5.546551094,56,3,0.125778916,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
214,H6N4O9,O,0.97679389,4,1.516106808,-0.664609399,451.4005075,-204.173753,-5.372993501,38,3,0.389972867,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,4.90E-06
215,HNO,O,0.992556343,9,1.66766101,-0.487990116,123.5263635,-67.60737866,-5.633948222,12,3,0.430795335,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0
216,Lu(HO)3,O,0.991153273,148,5.404889903,-2.372585419,277.721547,-174.3410194,-6.226464978,28,3,0.000894731,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,2.50E-08
217,La(HO)3,O,0.970573475,11,4.281287786,-2.307191544,147.3304448,-87.0851086,-6.2203649,14,3,0.002397861,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.00023135
218,Pr(HO)3,O,0.971010042,6,4.47447337,-2.271651113,142.4555199,-86.27732665,-6.162666189,14,3,0.002371015,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,5.90E-06
219,Eu(HO)3,O,0.974133578,176,5.104973204,-1.978859588,132.0540589,-93.25586284,-6.66113306,14,3,0.045487371,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.53118275
220,H2W2O7,O,0.977394151,141,5.658882664,-1.792181011,282.6946237,-146.2547513,-6.647943242,22,3,0.168130947,0.6,0.73,0.85,1.1,1.24,1.24,1.5376,0.0004248
